Rank,Name,Median_score,Cooperation_rating
0,DoubleCrosser,2.41246296296,0.3360711111111111
1,EvolvedLookerUp,2.40877777778,0.4524385185185185
2,PSO Gambler,2.4065,0.44029962962962965
3,Adaptive,2.40207407407,0.40466111111111114
4,BackStabber,2.38264814815,0.19555555555555557
5,Math Constant Hunter,2.38048148148,0.41310592592592593
6,Meta Hunter,2.35944444444,0.29605296296296296
7,Gradual,2.34807407407,0.47639
8,Fool Me Once,2.34285185185,0.12624
9,Meta Winner Long Memory,2.30894444444,0.09999111111111111
10,Forgetful Fool Me Once,2.30453703704,0.40398222222222224
11,Grudger,2.3042962963,0.09011888888888889
12,Meta Winner Finite Memory,2.30122222222,0.09036259259259259
13,Meta Winner Memory One,2.29983333333,0.0897774074074074
14,Meta Winner,2.29766666667,0.08971925925925926
15,Nice Average Copier,2.29577777778,0.08986962962962963
16,Grumpy,2.2917037037,0.7613966666666667
17,Davis,2.27846296296,0.11183518518518519
18,Hard Prober,2.27705555556,0.319662962962963
19,Soft Go By Majority,2.26461111111,0.6842933333333333
20,Soft Go By Majority: 20,2.26248148148,0.6491140740740741
21,Soft Go By Majority: 40,2.25781481481,0.6594962962962962
22,Average Copier,2.25172222222,0.07987666666666667
23,Forgiver,2.25112962963,0.25408555555555556
24,Once Bitten,2.25092592593,0.5018425925925926
25,Soft Go By Majority: 10,2.24824074074,0.6466722222222222
26,Omega TFT,2.24742592593,0.31870037037037036
27,Predator,2.24655555556,0.11470444444444444
28,Eatherley,2.24609259259,0.7618685185185186
29,Raider,2.24111111111,0.36662
30,Fortress4,2.23207407407,0.22006444444444445
31,ZD-GTFT-2,2.23111111111,0.6483455555555555
32,GTFT: 0.33,2.2257037037,0.7180722222222222
33,Soft Joss: 0.9,2.22446296296,0.5979
34,Limited Retaliate (0.05/20),2.22355555556,0.17797296296296297
35,Soft Go By Majority: 5,2.22135185185,0.5674485185185185
36,Slow Tit For Two Tats,2.21853703704,0.7133333333333334
37,Tit For 2 Tats,2.21451851852,0.7110696296296296
38,Hard Tit For 2 Tats,2.21314814815,0.646982962962963
39,Soft Grudger,2.21231481481,0.5645177777777778
40,Retaliate (0.05),2.21061111111,0.14680740740740741
41,Prober 3,2.21012962963,0.23972
42,Fortress3,2.20566666667,0.3020174074074074
43,Contrite Tit For Tat,2.20516666667,0.5405477777777777
44,Inverse,2.20481481481,0.5862181481481481
45,Inverse Punisher,2.20142592593,0.19310925925925926
46,Champion,2.19938888889,0.7607862962962963
47,Shubik,2.19733333333,0.29784555555555553
48,Adaptive Tit For Tat: 0.5,2.19646296296,0.5258885185185185
49,Forgiving Tit For Tat,2.19511111111,0.5503918518518518
50,Feld,2.19253703704,0.3662007407407407
51,Meta Majority Finite Memory,2.19246296296,0.5136044444444444
52,Tit For Tat,2.19055555556,0.5223129629629629
53,ZD-GEN-2,2.1892962963,0.6286559259259259
54,Retaliate (0.08),2.18803703704,0.17636555555555555
55,Firm But Fair,2.18674074074,0.678822962962963
56,Limited Retaliate (0.08/15),2.18659259259,0.21144333333333334
57,Meta Majority Memory One,2.1857037037,0.522812962962963
58,Meta Majority Long Memory,2.17601851852,0.42782037037037035
59,Aggravater,2.17568518519,0.05928888888888889
60,Tricky Defector,2.17527777778,0.36811555555555553
61,Forgetful Grudger,2.17522222222,0.2042525925925926
62,Meta Majority,2.175,0.4808914814814815
63,Appeaser,2.17368518519,0.5294503703703703
64,Limited Retaliate (0.1/20),2.17324074074,0.21738222222222223
65,Prober,2.16985185185,0.3081477777777778
66,Calculator,2.16822222222,0.43749074074074074
67,Retaliate (0.1),2.16787037037,0.19264074074074075
68,Nydegger,2.16685185185,0.8715440740740741
69,Defector,2.16377777778,0.04993555555555555
70,Eventual Cycle Hunter,2.16366666667,0.7661725925925926
71,Remorseful Prober: 0.1,2.16238888889,0.4560940740740741
72,Prober 2,2.16074074074,0.596492962962963
73,Alternator,2.15964814815,0.5012681481481481
74,Grofman,2.15490740741,0.7008162962962963
75,Random Hunter,2.14566666667,0.843137037037037
76,ThueMorseInverse,2.1427962963,0.5002085185185186
77,Naive Prober: 0.1,2.1412037037,0.430667037037037
78,Tullock,2.13922222222,0.42300333333333334
79,Joss: 0.9,2.13790740741,0.4291581481481481
80,Adapative Pavlov 2011,2.13568518519,0.43758296296296295
81,Win-Shift Lose-Stay,2.13551851852,0.5169192592592593
82,Sneaky Tit For Tat,2.13351851852,0.7273585185185185
83,Win-Stay Lose-Shift,2.12972222222,0.5229822222222222
84,ZD-SET-2,2.128,0.43296407407407406
85,Anti Tit For Tat,2.1277962963,0.5398514814814814
86,Desperate,2.12766666667,0.3538940740740741
87,Meta Mixer,2.12422222222,0.47006
88,Stochastic WSLS,2.12098148148,0.5175603703703704
89,Punisher,2.11651851852,0.27414777777777777
90,Adapative Pavlov 2006,2.11640740741,0.4170037037037037
91,ZD-Extort-4,2.11088888889,0.23467740740740742
92,Cycler DC,2.10844444444,0.50002
93,ALLCorALLD,2.10755555556,0.5059892592592593
94,ZD-Extort-2 v2,2.1057962963,0.34391666666666665
95,ZD-Extort-2,2.10316666667,0.34942407407407405
96,Random: 0.5,2.09555555556,0.49975703703703706
97,Hard Tit For Tat,2.09487037037,0.2621774074074074
98,$e$,2.09238888889,0.7835003703703703
99,Bully,2.08925925926,0.5439651851851852
100,Meta Minority,2.08809259259,0.5455514814814815
101,Ripoff,2.08785185185,0.4687103703703704
102,Two Tits For Tat,2.0857037037,0.3168007407407407
103,Cycler CCD,2.08535185185,0.652974074074074
