Mind Bender,Mind Controller,Mind Reader,Mind Warper,Protected Mind Reader,BackStabber,DoubleCrosser,Fool Me Once,Random,Average Copier,Champion,Eatherley,Forgetful Fool Me Once,Generous Tit-For-Tat,Feld,Grofman,Inverse,Joss,Meta Majority,Meta Minority,Meta Winner,Nice Average Copier,Soft Joss,Stochastic WSLS,Tullock,ZD-Extort-2,ZD-GTFT-2,Geller,Grudger,Meta Hunter,Davis,Shubik,Inverse Punisher,Retaliate (0.05),Limited Retaliate (0.05/20),Limited Retaliate (0.08/15),Forgiver,Math Constant Hunter,Appeaser,Win-Stay Lose-Shift,Retaliate (0.08),Limited Retaliate (0.1/20),Forgiving Tit For Tat,Tit For Tat,Retaliate (0.1),Forgetful Grudger,Go By Majority:5,Once Bitten,Go By Majority:20,Go By Majority:10,Go By Majority:40,Punisher,Go By Majority,Hard Tit For Tat,Hard Tit For 2 Tats,Two Tits For Tat,Grumpy,Hard Prober,Geller Cooperator,Tit For 2 Tats,Geller Defector,Random Hunter,Sneaky Tit For Tat,Alternator Hunter,Prober 3,Defector Hunter,Cooperator,Darwin,Tester,Opposite Grudger,Prober 2,Prober,Tricky Defector,Bully,$\pi$,$e$,Cooperator Hunter,Alternator,Suspicious Tit For Tat,$\phi$,Anti Tit For Tat,Defector,Calculator,Aggravater,Tricky Cooperator
4.99595238095,4.86904761905,4.86904761905,4.86904761905,4.86904761905,2.77178571429,2.79380952381,2.74279761905,1.82244047619,2.26898809524,2.46964285714,2.53583333333,2.64726190476,2.52886904762,2.0169047619,1.79113095238,2.60488095238,1.90398809524,2.50672619048,1.9018452381,1.92642857143,2.72279761905,2.56357142857,1.98375,1.97035714286,1.77904761905,2.55023809524,2.3493452381,2.69678571429,2.70398809524,2.67470238095,2.64,2.58952380952,2.61398809524,2.58446428571,2.57511904762,2.61886904762,2.5380952381,2.5369047619,2.60416666667,2.58220238095,2.58208333333,2.54904761905,2.51738095238,2.54029761905,2.57125,2.57511904762,2.57482142857,2.56130952381,2.52916666667,2.53958333333,2.4994047619,2.53892857143,2.47327380952,2.48523809524,2.44857142857,2.5069047619,2.34744047619,2.41107142857,2.45255952381,2.33595238095,2.24851190476,2.17267857143,2.14982142857,2.03261904762,2.14357142857,2.12678571429,2.13464285714,2.06089285714,1.97797619048,2.07005952381,1.94369047619,1.92797619048,1.95130952381,1.95303571429,1.93642857143,1.95226190476,1.9480952381,1.92017857143,1.81910714286,1.79452380952,1.78458333333,1.80821428571,1.77416666667,1.76404761905
4.9969047619,4.86904761905,4.86904761905,4.86904761905,4.86904761905,2.85928571429,2.85916666667,2.83720238095,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.81821428571,2.81380952381,2.7968452381,2.75827380952,2.72232142857,2.7131547619,2.71238095238,2.70476190476,2.70101190476,2.69803571429,2.69702380952,2.69702380952,2.69410714286,2.69303571429,2.6843452381,2.68410714286,2.68226190476,2.68011904762,2.67833333333,2.67279761905,2.65363095238,2.65202380952,2.64970238095,2.64148809524,2.63071428571,2.61869047619,2.60047619048,2.60005952381,2.59744047619,2.58416666667,2.57148809524,2.57101190476,2.51392857143,2.35851190476,2.3155952381,2.30767857143,2.30755952381,2.30303571429,2.29053571429,2.29053571429,2.28672619048,2.2675,2.25041666667,2.24029761905,2.22636904762,2.22458333333,2.21398809524,2.21357142857,2.19029761905,2.1893452381,2.18369047619,2.11571428571,2.11029761905,2.1081547619,2.0975,2.07625,2.02648809524
4.9969047619,4.86904761905,4.86904761905,4.86904761905,4.86904761905,2.85928571429,2.85916666667,2.83720238095,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.81821428571,2.81380952381,2.7968452381,2.75827380952,2.72232142857,2.7131547619,2.71238095238,2.70476190476,2.70101190476,2.69803571429,2.69702380952,2.69702380952,2.69410714286,2.69303571429,2.6843452381,2.68410714286,2.68226190476,2.68011904762,2.67833333333,2.67279761905,2.65363095238,2.65202380952,2.64970238095,2.64148809524,2.63071428571,2.61869047619,2.60047619048,2.60005952381,2.59744047619,2.58416666667,2.57148809524,2.57101190476,2.51392857143,2.35851190476,2.3155952381,2.30767857143,2.30755952381,2.30303571429,2.29053571429,2.29053571429,2.28672619048,2.2675,2.25041666667,2.24029761905,2.22636904762,2.22458333333,2.21398809524,2.21357142857,2.19029761905,2.1893452381,2.18369047619,2.11571428571,2.11029761905,2.1081547619,2.0975,2.07625,2.02648809524
4.9969047619,4.86904761905,4.86904761905,4.86904761905,4.86904761905,2.85928571429,2.85916666667,2.83720238095,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.81821428571,2.81380952381,2.7968452381,2.75827380952,2.72232142857,2.7131547619,2.71238095238,2.70476190476,2.70101190476,2.69803571429,2.69702380952,2.69702380952,2.69410714286,2.69303571429,2.6843452381,2.68410714286,2.68226190476,2.68011904762,2.67833333333,2.67279761905,2.65363095238,2.65202380952,2.64970238095,2.64148809524,2.63071428571,2.61869047619,2.60047619048,2.60005952381,2.59744047619,2.58416666667,2.57148809524,2.57101190476,2.51392857143,2.35851190476,2.3155952381,2.30767857143,2.30755952381,2.30303571429,2.29053571429,2.29053571429,2.28672619048,2.2675,2.25041666667,2.24029761905,2.22636904762,2.22458333333,2.21398809524,2.21357142857,2.19029761905,2.1893452381,2.18369047619,2.11571428571,2.11029761905,2.1081547619,2.0975,2.07625,2.02648809524
4.9969047619,4.86904761905,4.86904761905,4.86904761905,4.86904761905,2.85928571429,2.85916666667,2.83720238095,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.81821428571,2.81380952381,2.7968452381,2.75827380952,2.72232142857,2.7131547619,2.71238095238,2.70476190476,2.70101190476,2.69803571429,2.69702380952,2.69702380952,2.69410714286,2.69303571429,2.6843452381,2.68410714286,2.68226190476,2.68011904762,2.67833333333,2.67279761905,2.65363095238,2.65202380952,2.64970238095,2.64148809524,2.63071428571,2.61869047619,2.60047619048,2.60005952381,2.59744047619,2.58416666667,2.57148809524,2.57101190476,2.51392857143,2.35851190476,2.3155952381,2.30767857143,2.30755952381,2.30303571429,2.29053571429,2.29053571429,2.28672619048,2.2675,2.25041666667,2.24029761905,2.22636904762,2.22458333333,2.21398809524,2.21357142857,2.19029761905,2.1893452381,2.18369047619,2.11571428571,2.11029761905,2.1081547619,2.0975,2.07625,2.02648809524
4.9969047619,4.86904761905,4.86904761905,4.86904761905,4.86904761905,2.85928571429,2.85916666667,2.83720238095,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.81821428571,2.81380952381,2.7968452381,2.75827380952,2.72232142857,2.7131547619,2.71238095238,2.70476190476,2.70101190476,2.69803571429,2.69702380952,2.69702380952,2.69410714286,2.69303571429,2.6843452381,2.68410714286,2.68226190476,2.68011904762,2.67833333333,2.67279761905,2.65363095238,2.65202380952,2.64970238095,2.64148809524,2.63071428571,2.61869047619,2.60047619048,2.60005952381,2.59744047619,2.58416666667,2.57148809524,2.57101190476,2.51392857143,2.35851190476,2.3155952381,2.30767857143,2.30755952381,2.30303571429,2.29053571429,2.29053571429,2.28672619048,2.2675,2.25041666667,2.24029761905,2.22636904762,2.22458333333,2.21398809524,2.21357142857,2.19029761905,2.1893452381,2.18369047619,2.11571428571,2.11029761905,2.1081547619,2.0975,2.07625,2.02648809524
4.9969047619,4.86904761905,4.86904761905,4.86904761905,4.86904761905,2.85928571429,2.85916666667,2.83720238095,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.81821428571,2.81380952381,2.7968452381,2.75827380952,2.72232142857,2.7131547619,2.71238095238,2.70476190476,2.70101190476,2.69803571429,2.69702380952,2.69702380952,2.69410714286,2.69303571429,2.6843452381,2.68410714286,2.68226190476,2.68011904762,2.67833333333,2.67279761905,2.65363095238,2.65202380952,2.64970238095,2.64148809524,2.63071428571,2.61869047619,2.60047619048,2.60005952381,2.59744047619,2.58416666667,2.57148809524,2.57101190476,2.51392857143,2.35851190476,2.3155952381,2.30767857143,2.30755952381,2.30303571429,2.29053571429,2.29053571429,2.28672619048,2.2675,2.25041666667,2.24029761905,2.22636904762,2.22458333333,2.21398809524,2.21357142857,2.19029761905,2.1893452381,2.18369047619,2.11571428571,2.11029761905,2.1081547619,2.0975,2.07625,2.02648809524
4.9969047619,4.86904761905,4.86904761905,4.86904761905,4.86904761905,2.85928571429,2.85916666667,2.83720238095,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.81821428571,2.81380952381,2.7968452381,2.75827380952,2.72232142857,2.7131547619,2.71238095238,2.70476190476,2.70101190476,2.69803571429,2.69702380952,2.69702380952,2.69410714286,2.69303571429,2.6843452381,2.68410714286,2.68226190476,2.68011904762,2.67833333333,2.67279761905,2.65363095238,2.65202380952,2.64970238095,2.64148809524,2.63071428571,2.61869047619,2.60047619048,2.60005952381,2.59744047619,2.58416666667,2.57148809524,2.57101190476,2.51392857143,2.35851190476,2.3155952381,2.30767857143,2.30755952381,2.30303571429,2.29053571429,2.29053571429,2.28672619048,2.2675,2.25041666667,2.24029761905,2.22636904762,2.22458333333,2.21398809524,2.21357142857,2.19029761905,2.1893452381,2.18369047619,2.11571428571,2.11029761905,2.1081547619,2.0975,2.07625,2.02648809524
4.9969047619,4.86904761905,4.86904761905,4.86904761905,4.86904761905,2.85928571429,2.85916666667,2.83720238095,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.81821428571,2.81380952381,2.7968452381,2.75827380952,2.72232142857,2.7131547619,2.71238095238,2.70476190476,2.70101190476,2.69803571429,2.69702380952,2.69702380952,2.69410714286,2.69303571429,2.6843452381,2.68410714286,2.68226190476,2.68011904762,2.67833333333,2.67279761905,2.65363095238,2.65202380952,2.64970238095,2.64148809524,2.63071428571,2.61869047619,2.60047619048,2.60005952381,2.59744047619,2.58416666667,2.57148809524,2.57101190476,2.51392857143,2.35851190476,2.3155952381,2.30767857143,2.30755952381,2.30303571429,2.29053571429,2.29053571429,2.28672619048,2.2675,2.25041666667,2.24029761905,2.22636904762,2.22458333333,2.21398809524,2.21357142857,2.19029761905,2.1893452381,2.18369047619,2.11571428571,2.11029761905,2.1081547619,2.0975,2.07625,2.02648809524
4.9969047619,4.86904761905,4.86904761905,4.86904761905,4.86904761905,2.85928571429,2.85916666667,2.83720238095,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.82142857143,2.81821428571,2.81380952381,2.7968452381,2.75827380952,2.72232142857,2.7131547619,2.71238095238,2.70476190476,2.70101190476,2.69803571429,2.69702380952,2.69702380952,2.69410714286,2.69303571429,2.6843452381,2.68410714286,2.68226190476,2.68011904762,2.67833333333,2.67279761905,2.65363095238,2.65202380952,2.64970238095,2.64148809524,2.63071428571,2.61869047619,2.60047619048,2.60005952381,2.59744047619,2.58416666667,2.57148809524,2.57101190476,2.51392857143,2.35851190476,2.3155952381,2.30767857143,2.30755952381,2.30303571429,2.29053571429,2.29053571429,2.28672619048,2.2675,2.25041666667,2.24029761905,2.22636904762,2.22458333333,2.21398809524,2.21357142857,2.19029761905,2.1893452381,2.18369047619,2.11571428571,2.11029761905,2.1081547619,2.0975,2.07625,2.02648809524
