Rank,Name,Median_score,Cooperation_rating
70,Remorseful Prober: 0.1,2.58517290025,0.6709744298548721
71,Joss: 0.9,2.58269716745,0.6366811279826464
72,Thumper,2.58085867905,0.7533198924731183
73,ZD-GEN-2,2.57915896209,0.8644849334267695
74,ThueMorse,2.57827171949,0.49659348978046935
75,SolutionB1,2.5739008594,0.7021507936507937
76,Calculator,2.57289194033,0.639719142645972
77,ZD-Extort-2 v2,2.57279965975,0.6139939024390244
78,Grofman,2.57244225222,0.8783066202090593
79,Soft Joss: 0.9,2.57000690329,0.8584472049689441
80,ZD-SET-2,2.56492801637,0.5469487908961593
81,Desperate,2.56388750686,0.33665223665223665
82,Gradual,2.55938562498,0.8919327073552425
83,Soft Go By Majority: 40,2.55825427419,0.8403098591549296
84,Meta Mixer,2.55459673461,0.5931420765027322
85,Soft Go By Majority,2.55275824383,0.8669524495677233
86,Meta Majority Memory One,2.55235646773,0.8220560747663551
87,Predator,2.54815288057,0.43473466574776015
88,Opposite Grudger,2.54500512525,0.7623474178403756
89,Inverse,2.54393419538,0.7844166070150322
90,Tit For Tat,2.54192816328,0.82125814863103
91,Alternator,2.53884921605,0.5215089344804765
92,Appeaser,2.5381807594,0.8168840579710145
93,Slow Tit For Two Tats,2.53730801613,0.9097812279463655
94,Ripoff,2.53383953988,0.46834651898734175
95,Hard Go By Majority: 10,2.53290639748,0.46646680942184154
96,Eatherley,2.5320108453,0.887953074433657
97,Hopeless,2.52884309332,0.6657262357414448
98,ZD-Extort-4,2.51949688034,0.3440292275574113
99,Anti Tit For Tat,2.51592802038,0.5445931034482758
100,Random: 0.5,2.51544069299,0.49987408880053014
101,Once Bitten,2.51430709316,0.9353406593406594
102,Sneaky Tit For Tat,2.51333543031,0.6856093489148581
103,DoubleCrosser,2.50974919488,0.8083986928104575
104,Fool Me Forever,2.50918311676,0.683733170134639
105,BackStabber,2.50099807261,0.8185531004989308
106,Hard Tit For 2 Tats,2.49285162625,0.8788888888888889
107,Cycler CCD,2.49222890155,0.7028051554207733
108,Tit For 2 Tats,2.48724942995,0.9417201695941854
109,SolutionB5,2.47930848379,0.3383142279163857
110,Hard Go By Majority: 20,2.46186842416,0.4241424619640387
111,Adaptive,2.45871372548,0.5738261997405967
112,Grumpy,2.45356002247,0.9646508875739644
113,Davis,2.44414234314,0.8329246676514033
114,AntiCycler,2.44021406985,0.7438921651221567
115,Hard Go By Majority: 40,2.42805653939,0.43219526986052154
116,ALLCorALLD,2.42083723459,0.5979985283296542
117,$\pi$,2.40525326978,0.7035217673814165
118,Arrogant QLearner,2.40195480902,0.9361406377759608
119,Tricky Cooperator,2.39251870518,0.7642925495557075
120,Tullock,2.39191382545,0.8858766716196137
121,Defector Hunter,2.39155211091,0.9846597633136095
122,Champion,2.38883647825,1.0
123,Random Hunter,2.387121034,0.9512042682926829
124,Cycle Hunter,2.37343887401,0.9773913043478261
125,Math Constant Hunter,2.37223513202,0.940384024577573
126,Cooperator,2.37185417057,1.0
127,Meta Hunter,2.37153263262,0.8932189542483661
128,Alternator Hunter,2.3663422904,0.9923388581952118
129,Cautious QLearner,2.36537245414,0.9462783171521035
130,Cooperator Hunter,2.36375066315,0.840650298606503
131,Hesitant QLearner,2.3617823944,0.9488896746817539
132,Risky QLearner,2.35162683184,0.947001733102253
133,$e$,2.34339423191,0.743735255570118
134,Eventual Cycle Hunter,2.32331403111,0.9389126853377265
135,$\phi$,2.32086303388,0.6332349323493235
136,Willing,2.3120377805,0.9116272600834492
137,Cycler CCCCCD,2.30462344939,0.8770909090909091
138,Cycler CCCD,2.30427955853,0.799469964664311
