DoubleCrosser,BackStabber,Fool Me Once,Grudger,Meta Hunter,Nice Average Copier,Davis,Forgetful Fool Me Once,Shubik,Inverse,Limited Retaliate (0.05/20),Forgiver,Limited Retaliate (0.08/15),Inverse Punisher,Retaliate (0.05),Retaliate (0.08),Limited Retaliate (0.1/20),Retaliate (0.1),Soft Joss,Win-Stay Lose-Shift,Once Bitten,Go By Majority:5,Appeaser,ZD-GTFT-2,Math Constant Hunter,Go By Majority:40,Forgiving Tit For Tat,Forgetful Grudger,Go By Majority:10,Go By Majority:20,Generous Tit-For-Tat,Go By Majority,Tit For Tat,Meta Majority,Eatherley,Punisher,Grumpy,Champion,Hard Tit For 2 Tats,Hard Tit For Tat,Two Tits For Tat,Tit For 2 Tats,Hard Prober,Average Copier,Random Hunter,Alternator Hunter,Defector Hunter,Cooperator,Sneaky Tit For Tat,Tester,Prober 3,Prober 2,Opposite Grudger,Feld,Prober,Tullock,Suspicious Tit For Tat,Alternator,Tricky Defector,Meta Winner,Bully,Cooperator Hunter,Stochastic WSLS,$\pi$,$e$,Joss,Meta Minority,Calculator,Grofman,ZD-Extort-2,Random,Aggravater,Defector,$\phi$,Anti Tit For Tat,Tricky Cooperator
2.97446666667,2.9358,2.91193333333,2.85293333333,2.90506666667,2.8886,2.85766666667,2.83853333333,2.772,2.7762,2.75513333333,2.7524,2.72033333333,2.765,2.73313333333,2.7378,2.73066666667,2.72913333333,2.699,2.70726666667,2.72206666667,2.73033333333,2.7144,2.72206666667,2.67933333333,2.6896,2.7008,2.69186666667,2.69773333333,2.70046666667,2.70106666667,2.63646666667,2.657,2.64653333333,2.68513333333,2.64206666667,2.63846666667,2.63013333333,2.63226666667,2.63773333333,2.61253333333,2.58186666667,2.45966666667,2.55426666667,2.3468,2.2594,2.2388,2.2308,2.245,2.20393333333,2.15926666667,2.1446,2.14133333333,2.124,2.08546666667,2.05093333333,2.06546666667,2.05093333333,2.056,2.0546,2.0224,2.01433333333,2.03926666667,2.01533333333,2.0026,2.01513333333,1.95313333333,1.98493333333,2.00486666667,1.9066,1.9366,1.9126,1.89413333333,1.8832,1.88613333333,1.79833333333
2.94153333333,2.9464,2.91166666667,2.88273333333,2.89933333333,2.85986666667,2.85913333333,2.87,2.79766666667,2.78806666667,2.76173333333,2.721,2.7492,2.74566666667,2.76593333333,2.71126666667,2.7108,2.71233333333,2.70953333333,2.7124,2.71666666667,2.729,2.72106666667,2.69473333333,2.71486666667,2.6918,2.70093333333,2.68746666667,2.69186666667,2.71973333333,2.6846,2.70246666667,2.68466666667,2.6584,2.64433333333,2.63806666667,2.65386666667,2.64653333333,2.62546666667,2.6364,2.61133333333,2.57866666667,2.45726666667,2.4528,2.35066666667,2.24913333333,2.2426,2.234,2.20273333333,2.192,2.17133333333,2.15006666667,2.15213333333,2.09673333333,2.08533333333,2.05593333333,2.08486666667,2.0492,2.04613333333,2.04546666667,2.03853333333,2.03393333333,1.98633333333,1.99873333333,1.99686666667,2.02306666667,1.94666666667,1.9878,1.91066666667,1.9176,1.92853333333,1.9062,1.89226666667,1.89193333333,1.88593333333,1.8016
2.96673333333,2.94773333333,2.92073333333,2.85906666667,2.90306666667,2.85306666667,2.85206666667,2.8238,2.7772,2.7586,2.7362,2.74493333333,2.72106666667,2.77373333333,2.74413333333,2.73733333333,2.73133333333,2.7184,2.71393333333,2.70966666667,2.706,2.7102,2.71106666667,2.6968,2.68546666667,2.6834,2.65513333333,2.71613333333,2.6872,2.67233333333,2.66893333333,2.6582,2.68226666667,2.669,2.66853333333,2.64166666667,2.6624,2.64466666667,2.61326666667,2.61093333333,2.60973333333,2.5676,2.43066666667,2.4204,2.33073333333,2.2642,2.2362,2.2258,2.24546666667,2.19306666667,2.1744,2.1514,2.13313333333,2.10813333333,2.094,2.08013333333,2.07053333333,2.0454,2.05253333333,2.04613333333,2.0446,2.00533333333,2.02346666667,2.01166666667,2.00466666667,1.9444,1.9854,1.97773333333,1.94526666667,1.9346,1.9218,1.90686666667,1.88506666667,1.88893333333,1.8848,1.78786666667
2.9662,2.94673333333,2.92093333333,2.8668,2.9,2.858,2.86153333333,2.86306666667,2.77673333333,2.76513333333,2.73926666667,2.75953333333,2.75173333333,2.7414,2.73746666667,2.7342,2.70926666667,2.69586666667,2.73686666667,2.71993333333,2.71406666667,2.70873333333,2.7104,2.71233333333,2.71233333333,2.71206666667,2.7174,2.68773333333,2.69466666667,2.6726,2.6498,2.7,2.67853333333,2.67066666667,2.65986666667,2.63866666667,2.64766666667,2.63526666667,2.6296,2.6056,2.58166666667,2.58386666667,2.44293333333,2.3946,2.36506666667,2.2434,2.2432,2.2208,2.23573333333,2.19206666667,2.18166666667,2.14326666667,2.1568,2.15313333333,2.08553333333,2.0862,2.07806666667,2.05713333333,2.05806666667,2.04606666667,2.05326666667,1.99626666667,2.03226666667,2.00413333333,1.99293333333,2.0282,2.0266,1.9402,1.89766666667,1.9172,1.9034,1.91006666667,1.888,1.8774,1.87853333333,1.7892
2.95953333333,2.93686666667,2.91753333333,2.87226666667,2.872,2.8862,2.8578,2.82226666667,2.79646666667,2.73006666667,2.75486666667,2.77046666667,2.7266,2.7392,2.736,2.7112,2.7362,2.69006666667,2.73513333333,2.75133333333,2.722,2.72506666667,2.69753333333,2.7,2.6964,2.66446666667,2.70173333333,2.69566666667,2.6956,2.70673333333,2.7078,2.66773333333,2.65406666667,2.6758,2.6842,2.63613333333,2.65966666667,2.60706666667,2.62126666667,2.6098,2.58633333333,2.58513333333,2.43593333333,2.35526666667,2.3526,2.248,2.2452,2.22,2.19726666667,2.1918,2.16833333333,2.1542,2.1468,2.12093333333,2.09433333333,2.114,2.072,2.045,2.04046666667,2.04526666667,2.0418,2.05593333333,1.97873333333,1.9994,2.00373333333,2.0636,2.00266666667,1.97353333333,1.90586666667,1.8338,1.8982,1.90546666667,1.888,1.88433333333,1.88766666667,1.78813333333
2.96886666667,2.94666666667,2.90966666667,2.88646666667,2.85953333333,2.8632,2.83053333333,2.87753333333,2.78053333333,2.7866,2.762,2.71226666667,2.75253333333,2.7434,2.72953333333,2.73253333333,2.71186666667,2.72226666667,2.7274,2.71106666667,2.72093333333,2.71866666667,2.7016,2.72453333333,2.7202,2.69866666667,2.71033333333,2.7126,2.69893333333,2.68533333333,2.67193333333,2.6716,2.65246666667,2.66106666667,2.65026666667,2.6636,2.6496,2.638,2.6212,2.6334,2.6058,2.57493333333,2.4754,2.4176,2.32986666667,2.2448,2.2296,2.2186,2.21213333333,2.19833333333,2.18346666667,2.1234,2.14873333333,2.145,2.07693333333,2.08146666667,2.0694,2.0576,2.03633333333,2.04926666667,2.03266666667,2.0376,2.0932,2.0018,2.00046666667,1.98473333333,1.99213333333,1.9532,1.95686666667,1.87793333333,1.90526666667,1.9334,1.8904,1.88313333333,1.87793333333,1.79773333333
2.97273333333,2.9416,2.9078,2.885,2.86013333333,2.85733333333,2.85566666667,2.84,2.80026666667,2.73826666667,2.73206666667,2.7528,2.74526666667,2.7626,2.74026666667,2.70806666667,2.74053333333,2.72326666667,2.7258,2.75513333333,2.71146666667,2.6774,2.71293333333,2.63646666667,2.7154,2.71846666667,2.66686666667,2.68853333333,2.67146666667,2.69146666667,2.6768,2.66893333333,2.68353333333,2.67233333333,2.6768,2.6642,2.64546666667,2.63873333333,2.6132,2.61473333333,2.6078,2.57566666667,2.43426666667,2.51286666667,2.35886666667,2.2464,2.2382,2.2342,2.20233333333,2.18053333333,2.18166666667,2.14706666667,2.136,2.15686666667,2.08646666667,2.03286666667,2.07706666667,2.05813333333,2.04213333333,2.0474,2.02106666667,2.00333333333,2.04053333333,2.0088,1.99473333333,1.97606666667,1.966,1.94693333333,1.91573333333,1.93553333333,1.90633333333,1.91173333333,1.8896,1.8662,1.87266666667,1.7786
2.95026666667,2.93813333333,2.91366666667,2.89113333333,2.8698,2.86026666667,2.85546666667,2.8264,2.79653333333,2.79486666667,2.7664,2.74786666667,2.71946666667,2.73986666667,2.7334,2.71066666667,2.73246666667,2.72253333333,2.70293333333,2.7166,2.71,2.67993333333,2.68093333333,2.7216,2.67226666667,2.70513333333,2.68953333333,2.72006666667,2.67066666667,2.69266666667,2.6328,2.69866666667,2.65746666667,2.67053333333,2.6872,2.66266666667,2.6414,2.63826666667,2.60613333333,2.637,2.58366666667,2.575,2.44386666667,2.50746666667,2.32926666667,2.2452,2.2486,2.2294,2.21026666667,2.18633333333,2.18053333333,2.15813333333,2.12673333333,2.115,2.09193333333,2.07713333333,2.06513333333,2.05626666667,2.06026666667,2.05033333333,2.04626666667,2.04646666667,2.04213333333,2.0116,1.99973333333,1.9466,1.9896,1.96233333333,1.88133333333,1.92526666667,1.9234,1.90913333333,1.89386666667,1.88766666667,1.8804,1.79873333333
2.959,2.9404,2.90446666667,2.85706666667,2.87013333333,2.85893333333,2.8316,2.83466666667,2.80066666667,2.78033333333,2.75953333333,2.72073333333,2.74986666667,2.76433333333,2.73366666667,2.7362,2.7302,2.70033333333,2.72606666667,2.72526666667,2.70686666667,2.72846666667,2.71233333333,2.6674,2.69586666667,2.6716,2.6848,2.69206666667,2.67306666667,2.67806666667,2.69813333333,2.65153333333,2.68193333333,2.61193333333,2.65586666667,2.6668,2.64446666667,2.63873333333,2.6244,2.60906666667,2.6072,2.57286666667,2.44246666667,2.36713333333,2.35086666667,2.25326666667,2.2492,2.2308,2.2288,2.17373333333,2.163,2.13426666667,2.15193333333,2.13593333333,2.07013333333,2.028,2.0654,2.0588,2.0562,2.0498,2.035,2.0476,1.9354,2.00913333333,2.00113333333,1.99773333333,2.012,1.9608,1.97946666667,1.89106666667,1.95673333333,1.90993333333,1.89546666667,1.88733333333,1.87266666667,1.78206666667
2.96646666667,2.9496,2.91793333333,2.88246666667,2.866,2.8556,2.8382,2.85206666667,2.77713333333,2.76913333333,2.76013333333,2.7714,2.75393333333,2.74106666667,2.72913333333,2.74353333333,2.74166666667,2.72326666667,2.69153333333,2.72813333333,2.73426666667,2.68286666667,2.74293333333,2.7182,2.712,2.7104,2.6656,2.69406666667,2.66626666667,2.67713333333,2.66953333333,2.6748,2.653,2.64666666667,2.65446666667,2.66246666667,2.66346666667,2.63593333333,2.61053333333,2.60406666667,2.6066,2.604,2.46306666667,2.30213333333,2.34473333333,2.2502,2.2412,2.2332,2.1974,2.20526666667,2.16513333333,2.17126666667,2.1478,2.1788,2.08653333333,2.06653333333,2.06673333333,2.05693333333,2.052,2.0476,2.03626666667,2.05246666667,2.02173333333,2.00473333333,2.0068,1.989,1.95466666667,1.98213333333,1.9438,1.92293333333,1.84166666667,1.9026,1.8928,1.8606,1.86553333333,1.80213333333
