Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
16,Fool Me Once,2.7520954356846477,0.6265757261410788,67.0,1.0,0.6220873443983402,0.0044883817427385925,0.1282800829875519,0.24514419087136927,1.0,0.5766035843860098,0,0
17,"BackStabber: (D, D)",2.747634854771782,0.6425609958506224,196.0,1.0,0.6343842323651452,0.00817676348547718,0.12172468879668052,0.23571431535269716,0.9967523960570771,0.7877886447159845,0,0
18,Rowsam,2.7440560165975105,0.734651867219917,45.0,1.0,0.7058668049792531,0.028785062240663895,0.09037842323651449,0.17496970954356852,0.9184276286068126,0.7399863067270601,0.5583089695241925,0.2825379684340261
19,Spiteful Tit For Tat,2.742551867219917,0.6673580912863071,52.0,1.0,0.6341197095435686,0.03323838174273856,0.1266900414937759,0.20595186721991696,1.0,0,0.6548122563320862,0
20,Forgetful Fool Me Once: 0.05,2.7350829875518676,0.7539844398340249,53.0,1.0,0.7225232365145231,0.03146120331950205,0.08053900414937758,0.16547655601659744,1.0,0.6380113628064755,0.05147580440437749,0.05072703830346563
21,AON2,2.7303319502074697,0.6801375518672199,49.0,1.0,0.6041682572614107,0.07596929460580915,0.1494304979253112,0.1704319502074689,0.9953477518545217,0.17664864806198782,0,0.46153429268128293
22,Meta Winner: 8 players,2.72960580912863,0.5737317427385892,194.0,1.0,0.5640224066390046,0.009709336099585053,0.15304834024896244,0.27321991701244797,0.9032708552308915,0.6322880842023934,0.04004233570098299,0.056279374639355284
23,"EugineNier: (D,)",2.729294605809126,0.6462587136929461,201.0,1.0,0.6394757261410792,0.006782987551867206,0.11433838174273846,0.23940290456431512,0.9966613493208546,0,0.448307594736197,0
24,MEM2,2.727354771784232,0.599597510373444,77.0,1.0,0.5960593360995852,0.0035381742738589224,0.13444917012448135,0.26595331950207474,0.9966443405891441,0.22081989878519576,0.2644778357627541,0
25,GraaskampKatzen,2.7269190871369293,0.6663118257261411,53.0,1.0,0.6553995850622407,0.010912240663900402,0.10680684647302899,0.22688132780082984,0.9952473694257951,0,0.5067020301050703,0
26,NMWE Finite Memory: 78 players,2.7237136929460584,0.5801417012448132,68.0,1.0,0.5665016597510374,0.013640041493775923,0.15086701244813278,0.26899128630705393,0.8267922151150303,0.25240446105287784,0.09735739354681425,0.07872631212340403
27,NMWE Stochastic: 66 players,2.719917012448133,0.5832288381742738,68.0,1.0,0.5684798755186723,0.014748962655601659,0.14961763485477178,0.2671535269709544,0.7888078078618876,0.21991769203274109,0.11915418739693993,0.07335730214557785
28,Borufsen,2.7194917012448148,0.8023838174273858,22.0,1.0,0.7600153526970954,0.04236846473029042,0.06049875518672202,0.13711742738589203,0.9985681103111573,0.14379902466183891,0.7899308836372642,0.11562994142555962
29,Meta Hunter: 6 players,2.719149377593361,0.6310439834024896,62.0,1.0,0.5960421161825726,0.03500186721991701,0.14055601659751032,0.2284,0.9051337928141001,0.7220542494528421,0.15736591507630932,0.09556962866347483
30,NMWE Memory One: 34 players,2.7168257261410793,0.5740089211618258,77.0,1.0,0.565459336099585,0.008549585062240666,0.14852323651452282,0.2774678423236515,0.8259495910148655,0.22558238473812822,0.12242515386132051,0.03393776113984474
