Rank,Name,Median-score-per-turn
0,DoubleCrosser,2.41992592593
1,PSO Gambler,2.40927777778
2,EvolvedLookerUp,2.40387037037
3,Adaptive,2.40164814815
4,BackStabber,2.38427777778
5,Math Constant Hunter,2.3832037037
6,Meta Hunter,2.36666666667
7,Gradual,2.34738888889
8,Fool Me Once,2.33790740741
9,Meta Winner Long Memory,2.31003703704
10,Meta Winner Memory One,2.30853703704
11,Forgetful Fool Me Once,2.30194444444
12,Meta Winner Finite Memory,2.30174074074
13,Meta Winner,2.30075925926
14,Grudger,2.29942592593
15,Nice Average Copier,2.2987037037
16,Grumpy,2.291
17,Hard Prober,2.27983333333
18,Davis,2.27725925926
19,Soft Go By Majority,2.26487037037
20,Soft Go By Majority: 40,2.26133333333
21,Soft Go By Majority: 20,2.25874074074
22,Forgiver,2.25346296296
23,Omega TFT,2.25331481481
24,Eatherley,2.25081481481
25,Once Bitten,2.24848148148
26,Soft Go By Majority: 10,2.24688888889
27,Raider,2.24590740741
28,Predator,2.24503703704
29,Average Copier,2.24118518519
30,Fortress4,2.23192592593
31,Soft Joss: 0.9,2.22794444444
32,ZD-GTFT-2,2.22477777778
33,Limited Retaliate (0.05/20),2.22314814815
34,Slow Tit For Two Tats,2.22055555556
35,Retaliate (0.05),2.21927777778
36,GTFT: 0.33,2.21711111111
37,Tit For 2 Tats,2.21657407407
38,Soft Go By Majority: 5,2.21653703704
39,Hard Tit For 2 Tats,2.21509259259
40,Prober 3,2.21124074074
41,Soft Grudger,2.20840740741
42,Inverse,2.20772222222
43,Contrite Tit For Tat,2.20672222222
44,Fortress3,2.20568518519
45,Inverse Punisher,2.20259259259
46,Forgiving Tit For Tat,2.20157407407
47,Shubik,2.20103703704
48,Champion,2.19431481481
49,Adaptive Tit For Tat: 0.5,2.19381481481
50,ZD-GEN-2,2.19174074074
51,Feld,2.19148148148
52,Tit For Tat,2.19027777778
53,Limited Retaliate (0.08/15),2.19024074074
54,Meta Majority Long Memory,2.18948148148
55,Meta Majority Finite Memory,2.18766666667
56,Prober,2.18698148148
57,Firm But Fair,2.18583333333
58,Retaliate (0.08),2.18531481481
59,Meta Majority Memory One,2.18431481481
60,Aggravater,2.17648148148
61,Meta Majority,2.17638888889
62,Tricky Defector,2.17531481481
63,Forgetful Grudger,2.17518518519
64,Appeaser,2.17442592593
65,Limited Retaliate (0.1/20),2.17346296296
66,Retaliate (0.1),2.16874074074
67,Remorseful Prober: 0.1,2.16646296296
68,Calculator,2.166
69,Prober 2,2.165
70,Defector,2.1642962963
71,Alternator,2.16185185185
72,Nydegger,2.16018518519
73,Eventual Cycle Hunter,2.15701851852
74,Grofman,2.1552037037
75,Random Hunter,2.15453703704
76,Tullock,2.13953703704
77,Naive Prober: 0.1,2.13698148148
78,ThueMorseInverse,2.13696296296
79,Adapative Pavlov 2011,2.13690740741
80,Win-Shift Lose-Stay,2.13690740741
81,Win-Stay Lose-Shift,2.13505555556
82,Sneaky Tit For Tat,2.13340740741
83,Joss: 0.9,2.13214814815
84,Desperate,2.12642592593
85,ZD-SET-2,2.12625925926
86,Meta Mixer,2.12555555556
87,Anti Tit For Tat,2.12355555556
88,Adapative Pavlov 2006,2.12077777778
89,Stochastic WSLS,2.12061111111
90,Punisher,2.12059259259
91,ZD-Extort-4,2.10824074074
92,ZD-Extort-2 v2,2.10627777778
93,ZD-Extort-2,2.10616666667
94,ALLCorALLD,2.10464814815
95,Cycler DC,2.10225925926
96,Hard Tit For Tat,2.0977037037
97,Random: 0.5,2.09505555556
98,$e$,2.08981481481
99,Handshake,2.08874074074
100,Bully,2.08727777778
101,Cycler CCD,2.08727777778
102,Two Tits For Tat,2.08640740741
103,Meta Minority,2.08483333333
104,Tester,2.08364814815
105,Ripoff,2.08287037037
106,Hopeless,2.08218518519
107,Thumper,2.08203703704
108,Suspicious Tit For Tat,2.07907407407
109,SolutionB5,2.07503703704
110,ThueMorse,2.07342592593
111,$\phi$,2.07303703704
112,$\pi$,2.0672037037
113,Cycler DDC,2.05472222222
114,Cautious QLearner,2.02931481481
115,Risky QLearner,2.02853703704
116,Hesitant QLearner,2.02798148148
117,Willing,2.02303703704
118,Tricky Cooperator,2.0227037037
119,Arrogant QLearner,2.02211111111
120,Hard Go By Majority: 5,2.01738888889
121,Defector Hunter,2.01461111111
122,Hard Go By Majority: 40,2.01388888889
123,SolutionB1,2.01335185185
124,Opposite Grudger,2.01218518519
125,Cycler CCCD,2.0117962963
126,Hard Go By Majority: 20,2.01116666667
127,Cycle Hunter,2.00451851852
128,AntiCycler,2.00377777778
129,Alternator Hunter,2.00242592593
130,Hard Go By Majority,1.9997037037
131,Hard Go By Majority: 10,1.99792592593
132,Cooperator,1.99557407407
133,Cooperator Hunter,1.97264814815
134,Fool Me Forever,1.97218518519
135,Cycler CCCCCD,1.95172222222
