Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
13,Evolved FSM 4,2.243396017699115,0.5451393805309734,84.0,0.9535398230088495,0.279353539823009,0.2657858407079645,0.2377185840707964,0.2171420353982301,0.7589712767842501,0.41040573075568904,0.14812442873515252,0.6973838904989826
14,"Grumpy: Nice, 10, -10",2.2399115044247786,0.7307194690265487,36.0,0.9508849557522124,0.5566311946902652,0.1740882743362833,0.07523097345132751,0.19404955752212388,0.9108250960843135,0.8792844802044142,0.6328064669017424,0.5483636539031304
15,"BackStabber: (D, D)",2.235254424778761,0.1943137168141593,181.0,0.9502654867256637,0.14592256637168144,0.04839115044247789,0.2474763274336282,0.5582099557522124,0.7843270671288288,0.3453753286409336,0.1072223726413725,0.05294847840940441
16,Evolved HMM 5,2.2305752212389383,0.36782013274336284,100.0,0.9513274336283186,0.20413075221238935,0.16368938053097346,0.2459814159292036,0.3861984513274335,0.8347699581459644,0.38416676152194723,0.13675107478719634,0.21332884229176186
17,Doubler,2.229115044247788,0.6467896017699115,29.0,0.9473008849557523,0.501387610619469,0.1454019911504425,0.09247942477876102,0.26073097345132756,0.9506300961883012,0.5263763505655765,0.9505168082768759,0.21112670093002794
18,Kluepfel,2.2288716814159293,0.4798816371681416,102.0,0.9489823008849557,0.3658030973451327,0.11407853982300888,0.15277477876106196,0.3673435840707965,0.878714362710703,0.3076167264920823,0.6729422982685358,0.11215073470542866
19,Spiteful Tit For Tat,2.228473451327434,0.22827300884955753,193.0,0.9511504424778761,0.17606238938053104,0.0522106194690265,0.23148827433628308,0.5402387168141594,0.7691522748262172,0.051262263457434315,0.22934030967514965,0.05015588086508887
20,VeryBad,2.228152654867257,0.6627969026548672,55.5,0.9511061946902655,0.5233840707964602,0.13941283185840705,0.08016150442477873,0.2570415929203539,0.8982972424870478,0.7667958868394524,0.6006570709216065,0.288054899911484
21,Gradual,2.2244358407079643,0.45763008849557524,117.0,0.949070796460177,0.32725707964601786,0.13037300884955763,0.17511836283185833,0.3672515486725662,0.9113177956757251,0.33447881796190254,0.2737834151162766,0.17525528931000242
22,Soft Go By Majority: 40,2.2209623893805315,0.6316891592920354,58.0,0.9513716814159292,0.5043404867256637,0.1273486725663717,0.08518517699115045,0.28312566371681414,0.8970729601841726,0.736702529253906,0.5627117388222634,0.27033454518418887
23,Soft Go By Majority: 20,2.2169026548672566,0.6199181415929204,59.0,0.9500442477876107,0.4985190265486725,0.12139911504424779,0.085212389380531,0.2948694690265487,0.899615960966501,0.713940577271232,0.5541017570470018,0.26334716123804025
24,ShortMem,2.216382743362832,0.595678982300885,53.5,0.9512831858407079,0.4792409292035397,0.11643805309734505,0.09388407079646018,0.310436946902655,0.9251636251618928,0.5892641408758585,0.6441540388304465,0.25115011324391767
25,Harrington,2.2149004424778758,0.6409723451327434,79.0,0.9511504424778761,0.43406482300884947,0.20690752212389377,0.1389117256637168,0.22011592920354003,0.919321774092989,0.30104625500326837,0.8730342601989209,0.29054869646936327
26,Soft Go By Majority,2.2103761061946905,0.6528849557522124,56.5,0.9483185840707965,0.5118269911504424,0.14105796460176995,0.08224491150442478,0.26487013274336285,0.8962317972179525,0.7575704424815417,0.5807272212723633,0.28629966764006404
27,Adaptive,2.21,0.4066433628318584,122.0,0.9507964601769912,0.25138915929203537,0.155254203539823,0.21571172566371688,0.3776449115044248,0.7970973788947462,0.7034662986637785,0.21626612553648716,0.07955494220019625
28,Soft Go By Majority: 10,2.209590707964602,0.6198701327433628,60.0,0.94929203539823,0.5004413716814159,0.11942876106194682,0.08238738938053096,0.2977424778761062,0.9087651629495376,0.6913631987972481,0.5640881745398456,0.2579334882871051
29,GraaskampKatzen,2.2080973451327432,0.28415530973451325,190.5,0.9503097345132744,0.22768672566371673,0.05646858407079644,0.20219800884955744,0.5136466814159294,0.8073357816954285,0.05033584839292583,0.31181523185351206,0.050402769331748115
30,Evolved ANN,2.203108407079646,0.16621393805309734,170.0,0.9504424778761061,0.1114873893805309,0.05472654867256634,0.2580491150442478,0.575736946902655,0.7760147093539024,0.2790185286314804,0.20920149192865983,0.05165243461086987
31,"EugineNier: (D,)",2.200353982300885,0.17260176991150442,193.0,0.9486725663716814,0.12640995575221245,0.04619181415929203,0.2479546460176991,0.5794435840707964,0.7770329288473761,0.049205462299408774,0.15895259591478667,0.05000400065324008
32,Eatherley,2.1997898230088495,0.7434117256637168,21.0,0.9515486725663717,0.5551389380530972,0.18827278761061952,0.06964823008849558,0.1869400442477876,0.9496482307362395,0.6084572035339438,0.9498934808922564,0.47792209569247696
33,Tit For 2 Tats,2.1966039823008847,0.6995311946902655,20.0,0.9518141592920354,0.5388581858407078,0.1606730088495575,0.06941858407079649,0.23105022123893812,0.9503970922551152,0.6814362947551021,0.9499492343989895,0.2834586149828537
34,Math Constant Hunter,2.1943473451327433,0.4318513274336283,106.0,0.9501769911504425,0.22946792035398236,0.20238340707964617,0.23445641592920347,0.3336922566371679,0.6941061707440821,0.7290330543119093,0.19700812657789077,0.20413718337940814
35,Evolved FSM 16,2.1831084070796463,0.3636,119.0,0.9482300884955752,0.13758429203539818,0.22601570796460163,0.28283606194690264,0.35356393805309755,0.5003209515057696,0.4447643732079033,0.31157549957086494,0.3115616192603653
36,Forgetful Fool Me Once: 0.05,2.181028761061947,0.3830446902654867,127.5,0.9505309734513274,0.2821002212389381,0.10094446902654869,0.17929159292035404,0.43766371681415916,0.897343636731351,0.4772063738493732,0.19223209253735613,0.10480745755433629
