Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
14,Tricky Defector,2.72960808749,0.2601646090534979,134.0,0.0,0.025831333692545387,0.12105770023835513,0.44998162928122304,0.40312933678787644,0,1.0,0,0.278515376495
15,Nice Meta Winner: 168 players,2.7230856917,0.6190926640926641,39.0,1.0,0.6703620757764169,0.07512348559776968,0.11425505679496444,0.14025938183084893,1.0,0,0,0
16,MEM2,2.72134662267,0.6550361336946703,34.0,1.0,0.6955845504301603,0.07750459235090991,0.10187910054816396,0.12503175667076583,0.998739393425,0.287228765054,0.519248153049,0
17,Retaliate 3: 0.05,2.72008088506,0.6317922077922078,36.0,1.0,0.6759218476446096,0.07242887586307613,0.11020038831480813,0.1414488881775061,1.0,0,0.0341566575387,0
18,NMWE Deterministic: 122 players,2.71997429076,0.62355249745158,35.0,1.0,0.671224862455798,0.06633984805928521,0.1110424186550559,0.15139287082986103,0.989780800542,0.061700498548,0.021092767942,0.109558200264
19,Fortress4,2.7199556257,0.13714089031665902,136.0,0.0,0.013124605865001008,0.08052698030707062,0.4428055114852415,0.46354290234268697,1.0,0,0,0.275668171452
20,Fool Me Forever,2.71958372191,0.6868766404199476,80.0,0.0,0.22947651080383222,0.25500449975977113,0.38000395901311523,0.1355150304232814,1.0,1.0,0,1.0
21,NMWE Finite Memory: 77 players,2.71783339336,0.6585643015521064,34.0,1.0,0.6822803503571455,0.0742186409341612,0.10633021832373617,0.13717079038495716,0.986822775395,0.120144298144,0.0266899238129,0.123695552406
22,NMWE Long Memory: 91 players,2.71639711352,0.7040817382307294,33.0,1.0,0.699419604286798,0.07012968125471354,0.0971113266184271,0.13333938784006144,0.984763527432,0.102118226586,0.0092108854126,0.143153922196
23,Aggravater,2.71452996033,0.09610964681075382,178.0,0.0,0.07131062856317835,0.004041559022377907,0.3941818170643222,0.5304659953501216,1.0,0,0.205063206793,0
24,Evolved ANN,2.71404302834,0.8283240506329114,16.0,1.0,0.7674334651949779,0.1032502093341111,0.07055840693233185,0.05875791853857913,0.985050592169,0.711077095622,0.574270050132,0
25,Meta Winner Finite Memory: 77 players,2.70915866181,0.09710642471799902,162.0,1.0,0.1796270169639167,0.04448669778961207,0.34824075286777495,0.42764553237869624,0,0,0,0
26,Grudger,2.70684271843,0.6378837953091684,36.0,1.0,0.6784404095609694,0.06747111716723556,0.10427410127164607,0.14981437200014894,1.0,0,0,0
27,Random: 0.3,2.7003009626,0.29948807157057655,122.0,0.29893939393939395,0.16157119325892808,0.1379429062037792,0.37806176585274803,0.3224241346845447,0.294486824331,0.29784487165,0.298414191293,0.307996214709
28,Punisher,2.69618262605,0.636238023197176,35.0,1.0,0.683065532523507,0.06543702290122298,0.09912045939310875,0.1523769851821613,1.0,0,0.144659496981,0
29,Retaliate: 0.1,2.69601231548,0.704375,37.0,1.0,0.6887033528695701,0.06086249025014006,0.09464812880237743,0.15578602807791245,1.0,0,0.0890572390572,0
30,Meta Winner: 8 players,2.69550887921,0.6713018597997139,33.0,1.0,0.6747564102400068,0.08530867398544004,0.10735109108699091,0.13258382468756233,0.98686616115,0.164719307657,0.200813269403,0.166004076872
31,Nice Meta Winner Ensemble: 168 players,2.69404028783,0.7075093934514224,33.0,1.0,0.6778599297539412,0.08809741083603762,0.10702888269617017,0.12701377671385103,0.984773849161,0.101626154173,0.0180590761169,0.118388246147
32,Meta Winner Stochastic: 46 players,2.69006343398,0.10702574881765634,151.0,1.0,0.21611292637551333,0.05916021099587972,0.3290556394976408,0.39567122313096614,0,0.0627298591575,0.00566228846734,0.00641632453523
33,"Limited Retaliate 3: 0.05, 20",2.68726828248,0.6697808219178082,34.0,1.0,0.6737315101190076,0.08330527937000395,0.10550438593754792,0.13745882457344066,0.997835872576,0,0.0511603274567,0.0426761903618
34,Random: 0.1,2.68545030983,0.09878105954055322,152.0,0.10015151515151516,0.04650789041442564,0.053330427683581115,0.4115342446137746,0.4886274372882187,0.110438277293,0.119009800115,0.0996487043413,0.0974011969617
35,Retaliate 2: 0.08,2.68449654992,0.7312200208550573,28.0,1.0,0.6954651890636081,0.0888862556460938,0.09533693922047567,0.12031161606982245,1.0,0,0.063860250957,0
36,Evolved FSM 16 Noise 05,2.68043506362,0.7723888888888889,20.0,1.0,0.7214158322265998,0.09260987228804024,0.0829797255806656,0.10299456990469441,0.979686858381,0.471486579583,0.593212857876,0.158350211886
37,"Limited Retaliate 2: 0.08, 15",2.67830617558,0.6541459545214172,31.0,1.0,0.6852034694477659,0.06987748039069881,0.09487699859564644,0.15004205156588876,0.992063492063,0,0.0754049675947,0.060884186463
38,Meta Winner Long Memory: 91 players,2.67436373912,0.09583736689254599,153.0,1.0,0.21181781808261116,0.05274810469945537,0.32621752198298704,0.40921655523494643,0,0,0,0
39,PSO Gambler 1_1_1,2.67334104143,0.7452152040245947,21.0,1.0,0.7427004605137497,0.10039335597544419,0.07212958754067939,0.08477659597012674,1.0,0.390246001352,0,0.135773951834
40,Forgiver,2.67153423283,0.666733870967742,39.0,1.0,0.6657631179446774,0.08002680945383327,0.10499715198766092,0.14921292061382851,1.0,0.468991413426,0.0695039311402,0
41,SolutionB5,2.67041828656,0.44627370579190156,132.0,0.0,0.24850494785830227,0.13377291675830982,0.32703795633703975,0.2906841790463482,1.0,0,0.904513986149,0
42,NMWE Stochastic: 46 players,2.66655139824,0.6888489612577203,31.0,1.0,0.6776224584333349,0.08417679603033774,0.09880896142595234,0.13939178411037498,0.962656837972,0.213563152718,0.0292520850075,0.0974967178093
43,Spiteful Tit For Tat,2.66512131274,0.7830215419501134,19.0,1.0,0.7239007088439752,0.10347488695208282,0.0805161417293335,0.09210826247460849,1.0,0,0.863695655727,0
44,Suspicious Tit For Tat,2.66482581771,0.4766666666666667,107.0,0.0,0.24715957484550244,0.14814275548981903,0.3285877445177837,0.2761099251468948,1.0,0,1.0,0
45,Cycler DDC,2.66209527997,0.296931877275091,119.0,0.0,0.08048254409277167,0.15736630218958522,0.4144987127225583,0.34765244099508497,0,0,0.492023859376,0.677242074518
46,Evolved HMM 5,2.65762886743,0.7812225705329153,19.0,1.0,0.7427924875829074,0.10846382852537717,0.07032548567115923,0.0784181982205562,0.999386812544,0.476033080971,0.0259190786991,0.16956302364
47,Inverse Punisher,2.6540533414,0.7304994954591322,26.0,1.0,0.7075711059872594,0.08150589793610637,0.08004601696177242,0.13087697911486168,1.0,0,0.380274863203,0
48,Hard Go By Majority: 10,2.65359264256,0.45117707795560147,119.0,0.0,0.24771036364716362,0.1487148725424534,0.3269209238049818,0.2766538400054013,1.0,0.635672824659,0.874224154599,0
49,Winner12,2.65256268483,0.8093506493506494,17.0,1.0,0.7431246622690132,0.10035512294605162,0.066837323502755,0.0896828912821802,1.0,0.594874945006,0,0.570080238774
50,Meta Winner Ensemble: 168 players,2.6490036515,0.11569254185692542,137.0,0.843030303030303,0.18449562935668493,0.061716759631452504,0.33612049226473983,0.41766711874712276,0.0149726324086,0.189412736707,0.0156491008675,0.0966553557821
51,"Limited Retaliate: 0.1, 20",2.64894247045,0.6635160038797284,33.0,1.0,0.6882406996124131,0.08777516330659656,0.09000985727848668,0.13397427980250365,1.0,0,0.0773523023147,0.0377474558839
52,"General Soft Grudger: n=1,d=4,c=2",2.6454741866,0.8128171021377673,24.0,1.0,0.7215108254639695,0.10477594803405513,0.07649933371619214,0.09721389278578316,1.0,0.359764387441,0.282323755121,0.302704501254
53,Bully,2.64266001616,0.46312773190869355,103.0,0.0,0.09996508990436141,0.2744525520980752,0.4288182435478261,0.19676411444973735,0,1.0,0,1.0
54,Hard Go By Majority: 5,2.64004662794,0.4786569416498994,112.0,0.0,0.25675836279147735,0.1495012827439344,0.31901975663696247,0.2747205978276258,1.0,0.583628512574,0.914591010018,0
55,"Omega TFT: 3, 8",2.63978752544,0.8143377001455604,7.0,1.0,0.752975573820864,0.10708118396603747,0.06017774425155154,0.0797654979615469,0.999974346478,0.23934054434,0.86290543395,0.203278614397
56,Resurrection,2.63875713799,0.8017150890346767,2.0,1.0,0.7357545364939403,0.1102102328711599,0.06941721674565984,0.08461801388924009,1.0,0,0.984027540173,0
57,Prober 2,2.63783627898,0.6368735362997658,71.0,0.0,0.3822101298603455,0.19326625159574887,0.266075848059904,0.15844777048400152,1.0,0.695415146066,1.0,0.726354138284
58,Adaptive Pavlov 2011,2.63288179313,0.7685677218474313,18.0,1.0,0.7134254281525282,0.10101894030676827,0.0768513317947536,0.10870429974594997,0.985748456503,0.155795816481,0.713594989969,0.25
59,Handshake,2.63152413468,0.1814938684503902,144.0,1.0,0.2394388571537209,0.08891951572853929,0.3102486206784149,0.3613930064393248,0.487806646456,0.829552525041,0,0.508020592176
60,Desperate,2.63048497041,0.33792239685658154,99.0,0.4965151515151515,0.1433545700647151,0.19528942429379287,0.3858967232667082,0.27545928237478373,0,0,0,1.0
61,Hard Tit For Tat,2.6275473505,0.7260223804679552,34.0,1.0,0.707203034774746,0.08372784884929278,0.07397078913627898,0.1350983272396822,1.0,0,0.260129748711,0
62,Tester,2.62718010182,0.5161087420042644,60.0,0.0,0.31169019322527797,0.17577134287762183,0.29392931321490473,0.2186091506821955,0.829473217937,0.621265585416,1.0,0.675354576249
