Rank,Name,Median-score-per-turn
0,Fortress3,2.99498056982
1,Defector,2.82901887744
2,Prober 3,2.81597485589
3,Raider,2.80185723487
4,Fortress4,2.7905798029
5,Prober,2.78932608065
6,Retaliate (0.05),2.78872476919
7,Hard Prober,2.77564637465
8,Inverse Punisher,2.77175498884
9,PSO Gambler,2.76206937812
10,Forgiver,2.76078619003
11,Fool Me Forever,2.74634526115
12,Adapative Pavlov 2006,2.74058153569
13,Cycler DDC,2.74006119583
14,Desperate,2.72775283065
15,Meta Winner Memory One,2.72661427753
16,Grudger,2.72624764592
17,Retaliate (0.1),2.72039168676
18,Limited Retaliate (0.08/15),2.71258948128
19,Retaliate (0.08),2.70829755217
20,Nice Average Copier,2.70387136905
21,Limited Retaliate (0.05/20),2.70363190369
22,Average Copier,2.70262384534
23,Tricky Defector,2.7021712478
24,Meta Winner Long Memory,2.70132021415
25,Bully,2.69922729495
26,Limited Retaliate (0.1/20),2.6970463596
27,EvolvedLookerUp,2.6951958596
28,Inverse,2.69224746961
29,Hard Tit For Tat,2.68108159907
30,Adapative Pavlov 2011,2.67975295423
31,Forgetful Grudger,2.677097688
32,Meta Majority Finite Memory,2.66388912698
33,Predator,2.66078194196
34,Two Tits For Tat,2.65905253774
35,ZD-GTFT-2,2.6571429076
36,Adaptive Tit For Tat: 0.5,2.65601626383
37,Soft Go By Majority: 5,2.65327761509
38,Ripoff,2.65197373785
39,Omega TFT,2.65056132256
40,Soft Grudger,2.64674863846
41,Meta Winner Finite Memory,2.64481344523
42,ThueMorse,2.64422114208
43,Handshake,2.64176622152
44,Forgiving Tit For Tat,2.64143455562
45,Soft Go By Majority: 40,2.63880764891
46,Hard Go By Majority: 10,2.63563663519
47,Punisher,2.63476390607
48,Eatherley,2.63254790123
49,Meta Minority,2.63062408716
50,Feld,2.62940065247
51,Joss: 0.9,2.62804548756
52,Soft Go By Majority: 20,2.62785169985
53,Thumper,2.6260896599
54,Meta Winner,2.62426031698
55,Meta Majority,2.62163874671
56,Remorseful Prober: 0.1,2.61563387779
57,Soft Go By Majority: 10,2.61400514207
58,Meta Majority Long Memory,2.60928388677
59,Calculator,2.60617692537
60,Once Bitten,2.60430678386
61,Win-Shift Lose-Stay,2.603885903
62,Soft Joss: 0.9,2.60227094448
63,Grofman,2.60038682546
64,Win-Stay Lose-Shift,2.59978900772
65,Firm But Fair,2.59610392088
66,Naive Prober: 0.1,2.59495419401
67,Hard Go By Majority,2.59411802301
68,ZD-Extort-4,2.59339255484
69,Contrite Tit For Tat,2.59259174365
70,Soft Go By Majority,2.59052079065
71,GTFT: 0.33,2.58595843419
72,Appeaser,2.58132416537
73,BackStabber,2.58118947356
74,Meta Majority Memory One,2.58076686698
75,Cycler DC,2.57862544502
76,Fool Me Once,2.5761766508
77,DoubleCrosser,2.5756101905
78,Tit For Tat,2.57441225032
79,ThueMorseInverse,2.5688876928
80,Gradual,2.56847802676
81,ZD-Extort-2 v2,2.56652763908
82,Hard Go By Majority: 40,2.56293387306
83,ZD-SET-2,2.56115619603
84,Suspicious Tit For Tat,2.56013178773
85,Shubik,2.55830578261
86,Hard Go By Majority: 5,2.55734945183
87,Aggravater,2.55602543906
88,$\phi$,2.55198802401
89,Forgetful Fool Me Once,2.55114844797
90,SolutionB1,2.54859769182
91,Stochastic WSLS,2.54737589319
92,Tester,2.54709610051
93,Anti Tit For Tat,2.54633058406
94,ZD-GEN-2,2.53812269681
95,Prober 2,2.53776595843
96,Tit For 2 Tats,2.5372683872
97,ZD-Extort-2,2.52054885991
98,Meta Mixer,2.51110923716
99,Meta Hunter,2.51059963185
100,ALLCorALLD,2.5025916469
101,Nydegger,2.49817281244
102,Slow Tit For Two Tats,2.49057459109
103,Random: 0.5,2.49019878404
104,Alternator,2.48440513242
105,Sneaky Tit For Tat,2.48091787394
106,Davis,2.47764724269
107,Adaptive,2.4756626736
108,$e$,2.47326493429
109,Cycler CCD,2.46643878496
110,Grumpy,2.45447259515
111,SolutionB5,2.45005547896
112,Willing,2.44138651998
113,Hard Tit For 2 Tats,2.43336533705
114,Hard Go By Majority: 20,2.42448923499
115,Cycler CCCD,2.42418554151
116,$\pi$,2.42392883339
117,Cycle Hunter,2.41967278558
118,Math Constant Hunter,2.4118236918
119,Random Hunter,2.4086063211
120,Tullock,2.4026226328
121,Cautious QLearner,2.39854037989
122,Arrogant QLearner,2.39766433206
123,Defector Hunter,2.39296302687
124,Hopeless,2.38985790512
125,Opposite Grudger,2.38223044222
126,Alternator Hunter,2.3780852454
127,Tricky Cooperator,2.35479399546
128,Eventual Cycle Hunter,2.35126253224
129,Hesitant QLearner,2.34731420083
130,Risky QLearner,2.34018207874
131,Champion,2.33980434009
132,Cycler CCCCCD,2.33276638985
133,Cooperator Hunter,2.32811708365
134,Cooperator,2.30040466412
135,AntiCycler,2.28351015338
