Defector,Bully,Suspicious Tit For Tat,Tit For Tat,Alternator,Anti Tit For Tat,Win-Stay Lose-Shift,Cooperator
3.14285714286,3.16596638655,2.39990723562,2.37394957983,1.96485260771,2.09219748505,1.81972789116,1.50952380952
3.89288489288,2.82182103611,2.83265306122,2.22278911565,2.22063492063,2.09796949083,1.55974025974,1.49931972789
3.34965986395,2.7321560203,2.5,2.34380067817,2.48151260504,2.03221288515,1.7380952381,1.35714285714
3.33239141811,3.17322537711,3.05102040816,1.97710622711,2.2916592724,2.00639097744,1.60238095238,1.47561761547
3.18347338936,2.89659863946,2.25396825397,2.27397959184,2.193757503,2.14468864469,2.02380952381,1.72344322344
3.34605842337,2.67959183673,2.27696025779,2.16509656494,2.18667800454,2.30555555556,2.18333333333,1.33333333333
3.37369614512,2.83879015721,2.62576896787,2.31632653061,1.94432075861,2.02649162432,1.86642825773,1.57532467532
3.03990929705,2.90714285714,2.68818681319,2.24206349206,2.45820595445,1.86530612245,1.94642857143,1.43474758324
3.58646616541,2.6974025974,2.51576994434,2.35454545455,2.15115766586,1.75108225108,1.7593458436,1.62037962038
3.3619047619,2.77582417582,2.3774975025,2.27936507937,2.28669108669,2.10909090909,1.93430735931,1.35714285714
3.21333333333,2.88095238095,2.79120879121,2.17285714286,2.20238095238,1.65476190476,1.82692307692,1.28571428571
3.69537815126,2.81662087912,2.34548229548,2.28793517407,2.07456828885,2.01242496999,1.99341736695,1.66666666667
3.83428571429,3.29142857143,2.48866213152,1.93412698413,2.08928571429,1.97428571429,1.8630952381,1.55795918367
3.57142857143,2.73300865801,3.07142857143,2.20292207792,2.16753246753,1.75238095238,1.94047619048,1.17662337662
3.8380952381,2.73021978022,2.07999353588,2.17897320071,2.17691153875,2.07530271661,1.92533256217,1.51375095493
3.34102564103,2.95531135531,2.63365800866,1.97586580087,1.91037851038,2.33333333333,1.89963369963,1.6875
2.85354141657,3.15,2.45900774103,2.3,1.88151260504,2.16598639456,1.808837673,1.55357142857
3.27210884354,2.92545787546,2.63265306122,1.78581894296,2.41471861472,2.07755102041,1.92857142857,1.51414656772
3.44188428059,3.1831797235,2.7003968254,1.90476190476,2.14671814672,2.10590182019,2.08134920635,1.51360544218
2.76296296296,3.33646616541,3.02201933405,2.26428571429,1.90585789872,2.06730351715,1.63196555218,1.54285714286
3.5984962406,3.18609022556,2.5492007992,2.32925170068,1.97448979592,2.07359307359,1.82326007326,1.11038961039
3.45172413793,2.84381499726,2.73571428571,2.25595238095,2.0031462585,2.07397959184,2.02142857143,1.41964285714
2.82346109175,2.94714809001,2.66687598116,2.34345445495,2.24274376417,2.04761904762,1.85204081633,1.59285714286
3.23902894491,2.92521367521,2.77660910518,2.24955771782,2.04383629882,1.71088435374,1.9768115942,1.80102040816
3.4925170068,2.7387755102,2.79532967033,1.71031746032,2.15661865286,2.05900621118,2.01020408163,1.50312602158
3.25343915344,3.2224025974,2.84387755102,2.43311688312,1.95668550248,1.72268907563,1.88051948052,1.71428571429
3.35392668864,2.6940267335,2.33525345622,2.27756892231,2.27807912639,2.15735930736,1.99812427752,1.18181818182
3.49816849817,2.80357142857,2.62925170068,2.17320774464,2.2074829932,1.96436420722,1.93974358974,1.39285714286
2.90476190476,2.72619047619,2.7474025974,1.89880952381,2.40773809524,1.86904761905,1.6619047619,1.96103896104
2.8015037594,3.00440966901,2.43923473279,2.31272591416,2.13163265306,2.06329488317,2.13181818182,1.45918367347
3.74285714286,2.90701754386,2.90977443609,2.19674185464,2.31699346405,1.90158730159,1.89366515837,1.38991596639
3.60952380952,2.94285714286,2.41836734694,1.84897959184,2.27414965986,2.21088435374,2.16666666667,1.57142857143
3.57942057942,2.93489190548,2.31282209854,2.16572447161,2.21581117295,2.25850340136,1.85714285714,1.55194805195
3.329004329,2.88231474408,2.28214285714,2.24789915966,2.46666666667,2.39183673469,2.02721088435,1.58035714286
3.41456582633,2.84591836735,2.62925170068,2.34159663866,2.24058956916,1.80914786967,1.92023809524,1.52488363767
3.68610301263,2.92517006803,2.42857142857,2.36507936508,2.19047619048,2.16326530612,2.08017492711,1.42857142857
3.09523809524,3.12244897959,2.40739022882,2.18650793651,2.05634920635,1.83051948052,1.97619047619,1.89880952381
3.39340659341,2.80217163789,2.48851386709,2.26984126984,2.02925170068,2.09441352298,1.84144427002,1.74047619048
3.75613275613,3.16161616162,2.38311036789,2.27360972361,2.04699524078,2.15714285714,1.96457114314,1.51948051948
3.34175084175,2.72727272727,2.10871271586,1.95017006803,2.51850477565,2.16298701299,2.00541125541,1.54050235479
3.68067226891,2.73446136349,2.55663265306,2.29591836735,2.24401360544,1.9806122449,1.86259398496,1.52551020408
