Rank,Name,Median_score,Cooperation_rating
0,PSO Gambler,3.03717391304,0.6732003623188406
1,EvolvedLookerUp,3.02619565217,0.6867775362318841
2,DoubleCrosser,2.9290942029,0.6695195652173913
3,Fool Me Once,2.91469202899,0.6174054347826087
4,BackStabber,2.89811594203,0.6403177536231884
5,Gradual,2.89581521739,0.8098557971014493
6,Forgetful Fool Me Once,2.86496376812,0.7732452898550725
7,Meta Hunter,2.85878623188,0.5886760869565217
8,Omega TFT,2.80579710145,0.7563869565217392
9,Meta Winner,2.79898550725,0.5304170289855072
10,Nice Average Copier,2.79865942029,0.5296474637681159
11,Meta Winner Long Memory,2.79847826087,0.5310949275362319
12,Grudger,2.79532608696,0.5297192028985507
13,Meta Winner Finite Memory,2.79458333333,0.5301978260869565
14,Meta Winner Memory One,2.79384057971,0.5293666666666667
15,Davis,2.75394927536,0.5466550724637681
16,Shubik,2.74110507246,0.6924702898550724
17,Soft Grudger,2.72144927536,0.8138764492753623
18,Eventual Cycle Hunter,2.71974637681,0.7930449275362319
19,ZD-GTFT-2,2.71762681159,0.8772644927536232
20,Inverse,2.71655797101,0.6936663043478261
21,Limited Retaliate (0.05/20),2.71335144928,0.6187373188405797
22,GrudgerAlternator,2.71291666667,0.7636340579710145
23,Soft Joss: 0.9,2.7096557971,0.8534195652173913
24,GTFT: 0.33,2.70384057971,0.9052644927536232
25,Limited Retaliate (0.08/15),2.69199275362,0.6276702898550724
26,Inverse Punisher,2.69170289855,0.6282126811594203
27,Eatherley,2.69032608696,0.9088644927536232
28,ZD-GEN-2,2.68998188406,0.871308695652174
29,Forgiver,2.68989130435,0.6236336956521739
30,Retaliate (0.08),2.68351449275,0.6173503623188406
31,Retaliate (0.05),2.68335144928,0.5960253623188406
32,Math Constant Hunter,2.68333333333,0.7317173913043479
33,Limited Retaliate (0.1/20),2.68164855072,0.6290880434782609
34,Once Bitten,2.67173913043,0.7991065217391304
35,Forgetful Grudger,2.67168478261,0.617245652173913
36,Retaliate (0.1),2.67052536232,0.6184869565217391
37,Champion,2.65610507246,0.9050358695652174
38,Appeaser,2.65585144928,0.7507634057971014
39,Grofman,2.65474637681,0.8937554347826087
40,Win-Stay Lose-Shift,2.6546557971,0.7512865942028986
41,Firm But Fair,2.65079710145,0.8589170289855073
42,Adapative Pavlov 2011,2.64963768116,0.7538221014492754
43,Meta Majority Long Memory,2.6456884058,0.734527536231884
44,Soft Go By Majority: 5,2.64434782609,0.8014804347826087
45,Soft Go By Majority: 10,2.64326086957,0.8594173913043478
46,Meta Majority,2.64161231884,0.7737641304347826
47,Soft Go By Majority: 20,2.64088768116,0.8543228260869565
48,Adapative Pavlov 2006,2.64048913043,0.7308641304347826
49,Forgiving Tit For Tat,2.63657608696,0.7891155797101449
50,Grumpy,2.63608695652,0.8818586956521739
51,Contrite Tit For Tat,2.63525362319,0.7822836956521739
52,Tit For Tat,2.63452898551,0.7814855072463768
53,Adaptive Tit For Tat: 0.5,2.63371376812,0.7821677536231884
54,Soft Go By Majority: 40,2.63016304348,0.8500007246376812
55,Soft Go By Majority,2.61563405797,0.8289206521739131
56,Punisher,2.61452898551,0.6400804347826087
57,Meta Majority Memory One,2.61449275362,0.7790786231884058
58,Meta Majority Finite Memory,2.61161231884,0.7644434782608696
59,Hard Tit For 2 Tats,2.60833333333,0.856925
60,Slow Tit For Two Tats,2.60498188406,0.8899503623188406
61,Tit For 2 Tats,2.6015942029,0.8893257246376811
62,Hard Tit For Tat,2.59471014493,0.6415673913043478
63,Two Tits For Tat,2.55846014493,0.6603257246376811
64,Thumper,2.54550724638,0.6963717391304348
65,Adaptive,2.5364673913,0.49647391304347827
66,Raider,2.51985507246,0.3920286231884058
67,Hard Prober,2.48380434783,0.38865
68,Nydegger,2.47233695652,0.9415528985507247
69,Average Copier,2.41387681159,0.3448510869565217
70,Random Hunter,2.41030797101,0.9388380434782608
71,Cycle Hunter,2.38481884058,0.9575949275362319
72,Defector Hunter,2.37786231884,0.9887742753623189
73,Sneaky Tit For Tat,2.35865942029,0.7317822463768116
74,Alternator Hunter,2.33846014493,0.9856278985507246
75,Fool Me Forever,2.3281884058,0.8962195652173913
76,EasyGo,2.32639492754,0.8970289855072464
77,Cooperator,2.30717391304,1.0
78,Prober 2,2.26532608696,0.6502492753623188
79,Fortress4,2.25704710145,0.19459710144927536
80,Fortress3,2.24565217391,0.27973152173913046
81,Predator,2.2447826087,0.2545358695652174
82,Ripoff,2.23539855072,0.4916039855072464
83,Tester,2.23286231884,0.48538369565217393
84,Prober,2.23197463768,0.33208840579710147
85,Prober 3,2.21851449275,0.22559782608695653
86,Bully,2.1980615942,0.5305184782608696
87,Willing,2.19110507246,0.9480597826086956
88,Remorseful Prober: 0.1,2.18916666667,0.46500072463768116
89,Meta Minority,2.18637681159,0.5296898550724638
90,ThueMorseInverse,2.17815217391,0.5
91,Stochastic WSLS,2.17675724638,0.5395246376811594
92,Feld,2.1759057971,0.3634003623188406
93,Hesitant QLearner,2.17545289855,0.8460565217391305
94,Risky QLearner,2.17364130435,0.845038768115942
95,Cautious QLearner,2.1735326087,0.8478384057971015
96,Arrogant QLearner,2.16869565217,0.8466731884057971
97,ALLCorALLD,2.14704710145,0.5951449275362319
98,Tullock,2.14648550725,0.45762753623188407
99,Suspicious Tit For Tat,2.13327898551,0.5034902173913044
100,Meta Mixer,2.13155797101,0.4879768115942029
101,ZD-SET-2,2.1305615942,0.43177210144927536
102,Tricky Defector,2.12182971014,0.3367869565217391
103,Desperate,2.12081521739,0.338638768115942
